run_date,notebooks_collected,notebooks_parsed,parse_success_rate,repos_contributing,strata_sampled,notebook_size_index_mean,notebook_size_index_median,narrative_index_mean,narrative_index_median,reproducibility_score_mean,reproducibility_score_median,visualization_density_mean,visualization_density_median,interactive_widget_score_mean,interactive_widget_score_median,scientific_computing_score_mean,scientific_computing_score_median,ml_usage_score_mean,ml_usage_score_median,complexity_score_mean,complexity_score_median,educational_score_mean,educational_score_median,documentation_density_mean,documentation_density_median,mean_total_cells,median_total_cells,mean_code_cells,mean_markdown_cells,mean_total_lines,mean_imports,mean_outputs,pct_with_output,pct_executed_in_order,pct_with_widgets,pyver_3_7_pct,pyver_3_8_pct,pyver_3_11_pct,pyver_3_6_pct,pyver_3_10_pct,pyver_3_9_pct,pyver_2_7_pct,pyver_3_5_pct,pyver_3_13_pct,pyver_3_12_pct,pyver_3_14_pct,pyver_3_1_pct,pct_with_python_version,mean_nbformat,pct_nbformat_4,pyver_3_4_pct,pyver_0_4_pct,collection_type,pyver_1_7_pct,pyver_3_3_pct,pyver_0_6_pct,pyver_7_0_pct,pyver_5_26_pct,pyver_1_6_pct,pyver_5_18_pct,pyver_3_2_pct,pyver_4_2_pct,pyver_4_5_pct,pyver_4_4_pct,pyver_1_8_pct,pyver_1_3_pct,pyver_8_0_pct,pyver_3_0_pct,pyver_1_12_pct,pyver_4_1_pct,pyver_9_0_pct,pyver_0_5_pct,pyver_2_11_pct,pyver_1_2_pct,pyver_1_9_pct,pyver_1_10_pct,pyver_20_18_pct,pyver_16_13_pct,pyver_4_3_pct,pyver_2_13_pct,pyver_9_8_pct,pyver_8_10_pct,pyver_1_1_pct,pyver_5_1_pct,pyver_1_4_pct,pyver_1_5_pct,pyver_0_12_pct,pyver_0_14_pct,pyver_11_1_pct,pyver_4_13_pct,pyver_4_11_pct,pyver_1_11_pct,pyver_0_3_pct,pyver_5_8_pct,pyver_4_0_pct,pyver_1_0_pct,pyver_5_9_pct,pyver_2_12_pct,pyver_2_4_pct,pyver_2_2_pct,pyver_12_0_pct,pyver_8_2_pct
2024-01-01,120,117,0.975,42,5,0.4031,0.3354,0.2745,0.2033,0.7923,0.82,0.4378,0.5,0.0253,0.0,0.388,0.5,0.2068,0.0,0.4357,0.4212,0.3431,0.2429,0.1708,0.051,36.632,17.0,25.137,11.47,268.889,6.154,19.974,0.9316,0.1795,0.0085,4.59,20.18,23.85,4.59,19.27,15.6,0.92,,4.59,6.42,,,0.9316,4.0,1.0,,,cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,120,117,0.975,37,5,0.4251,0.4541,0.3394,0.3192,0.5906,0.62,0.3783,0.5,0.033,0.0,0.3825,0.5,0.1983,0.0,0.4464,0.4813,0.3995,0.4259,0.1782,0.065,25.051,18.0,15.231,9.803,333.47,6.564,16.504,0.6752,0.0598,0.0684,7.14,,18.57,1.43,7.14,5.71,1.43,,11.43,42.86,4.29,,0.5983,4.0,1.0,,,cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,120,119,0.9917,42,3,0.4576,0.4102,0.3815,0.4134,0.6952,0.8,0.511,0.6106,0.0373,0.0,0.5097,0.5,0.2218,0.0,0.5108,0.4813,0.5288,0.6264,0.1409,0.1045,26.269,20.0,16.067,10.202,378.941,7.294,14.899,0.7731,0.2101,0.0336,,,13.79,,32.18,11.49,6.9,,24.14,9.2,2.3,,0.7311,4.0,1.0,,,cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07,400,400,1.0,122,7,0.4082,0.3811,0.2989,0.2777,0.7509,0.8036,0.4233,0.5,0.0384,0.0,0.4313,0.5,0.2155,0.0,0.4352,0.4427,0.3751,0.3495,0.1784,0.0771,31.555,21.0,20.843,10.68,262.337,6.027,29.157,0.8275,0.22,0.055,17.44,15.12,7.27,24.13,9.3,5.52,6.69,4.94,3.2,4.65,1.45,0.29,0.86,4.0,1.0,,,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,400,398,0.995,121,7,0.4239,0.4021,0.3739,0.3804,0.747,0.8029,0.3857,0.5,0.0368,0.0,0.3721,0.5,0.201,0.0,0.412,0.4254,0.4557,0.5018,0.252,0.1803,31.508,23.0,19.025,12.475,262.405,5.53,14.148,0.7915,0.2085,0.0503,21.75,18.64,9.04,12.99,7.63,9.6,4.24,4.52,2.82,7.34,0.28,,0.8894,3.997,0.9975,,,daily,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,400,399,0.9975,122,7,0.3935,0.3629,0.3292,0.2942,0.7099,0.793,0.3791,0.5,0.0269,0.0,0.383,0.5,0.2105,0.0,0.3865,0.3859,0.3798,0.3574,0.2234,0.1092,34.867,21.0,21.744,13.12,277.915,5.388,15.975,0.7569,0.1729,0.0426,18.44,17.29,8.36,9.22,7.78,11.82,8.07,1.15,9.8,4.9,,,0.8697,4.0,1.0,1.73,,daily,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,400,400,1.0,96,7,0.419,0.389,0.3997,0.4235,0.7372,0.8026,0.3427,0.1968,0.0487,0.0,0.3595,0.5,0.1545,0.0,0.3863,0.3753,0.4872,0.545,0.2486,0.1871,33.725,22.0,18.378,15.325,242.347,5.378,12.332,0.7325,0.3025,0.0575,14.16,13.58,11.56,15.03,13.01,11.27,4.91,0.87,2.6,7.8,2.89,,0.865,4.0,1.0,0.29,,daily,,,,,,,,,,,,,,,1.45,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-11,351,350,0.9972,120,6,0.3797,0.3509,0.2974,0.2834,0.6978,0.787,0.3004,0.0,0.0264,0.0,0.3424,0.5,0.1811,0.0,0.383,0.369,0.3763,0.3618,0.1889,0.104,28.769,17.0,19.626,9.08,219.651,5.151,14.174,0.78,0.1629,0.0457,12.27,19.13,11.91,11.19,12.27,13.36,3.97,2.53,6.5,5.05,,,0.7914,3.986,0.9857,,,daily,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,400,399,0.9975,112,6,0.3608,0.3235,0.328,0.3036,0.7259,0.82,0.3143,0.0,0.0248,0.0,0.3035,0.5,0.1995,0.0,0.3646,0.3694,0.4132,0.3734,0.2225,0.1282,25.83,17.0,16.97,8.789,220.1,5.095,18.01,0.7694,0.2782,0.0376,18.21,9.88,10.19,12.65,9.57,13.58,6.48,5.86,4.94,5.86,0.93,,0.812,3.992,0.9925,,,daily,,,,,,,,,,,,,,,,,,1.54,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,400,391,0.9775,114,7,0.4139,0.403,0.3513,0.3476,0.7066,0.7955,0.3608,0.4131,0.0326,0.0,0.3982,0.5,0.1923,0.0,0.4042,0.4027,0.4357,0.4861,0.2232,0.118,30.581,22.0,18.069,12.427,263.169,5.987,19.639,0.7238,0.1969,0.046,25.83,5.11,5.71,18.02,14.41,10.81,5.41,0.6,5.11,6.61,1.5,,0.8517,3.985,0.9847,0.6,,daily,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
